observationUnitName	observationUnitXref	X	Y	germplasmDbId	germplasmName	accessionNumber	season	observationTimeStamp	Budflush2	SLA	CM	Shoots3	Syllep1	Circum2	Height2	NM	REP	Height1	BS_date	Circum1	Delta13C
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-12-18T01:00:00Z						122.18							
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-04-01T02:00:00Z			457.62										
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-04-01T02:00:00Z													21.45
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-01-12T01:00:00Z										307.39999999999998			
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-12-18T01:00:00Z							644.4						
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-04-01T02:00:00Z								19.338000000000001					
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-04-01T02:00:00Z		131.13999999999999											
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-01-12T01:00:00Z					23.16								
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2004	2004-12-18T01:00:00Z									6				
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2005	2015-09-01T02:00:00Z											257.47217345906301		
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2005	2005-05-12T02:00:00Z				11.296321000000001									
661300470	gnpis.lot:'661300470'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzNNSENHTg==	661300470	661300470	2005	2005-05-12T02:00:00Z									6				
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-03-21T01:00:00Z	94.000172239871404												
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-01-12T01:00:00Z												42.176055268776068	
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-12-18T01:00:00Z						113.68							
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-04-01T02:00:00Z			451.42										
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-04-01T02:00:00Z													21.861999999999998
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-01-12T01:00:00Z										261.89999999999998			
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-12-18T01:00:00Z							544.4						
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-04-01T02:00:00Z								22.664000000000001					
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-04-01T02:00:00Z		151.36000000000001											
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-01-12T01:00:00Z					13								
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2004	2004-04-01T02:00:00Z									6				
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2005	2015-09-01T02:00:00Z											256.55867117879802		
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2005	2005-05-12T02:00:00Z				12.1104									
661300453	gnpis.lot:'661300453'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0LzhWV1BIWg==	661300453	661300453	2005	2005-05-12T02:00:00Z									6				
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-03-21T01:00:00Z	104.50017223987101												
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-01-12T01:00:00Z												42.876336941163288	
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-12-18T01:00:00Z						114.68							
661300365	gnpis.lot:'661300365'	NA	NA	aHR0cHM6Ly9kb2kub3JnLzEwLjE1NDU0L0JVUlU5NA==	661300365	661300365	2004	2004-04-01T02:00:00Z			450.48										
